Issue Key,Round Number,Round Kappa,Crowd Estimate,Crowd Justification,Auto Quality Class
AEROGEAR-4331,1,0.76,20,"1 day for researching and reading the Dagger documentation.
1 day for installing and configuring the framework
1 day for testing and writing the example code",B
AEROGEAR-4331,1,0.76,8,I have a group of guys and we could figure it out in that time. If we couldn't we would pass the job to someone else,B
AEROGEAR-4331,1,0.76,8,The task requires to use core core module in all services h4. It would definitely require a full day time.,B
AEROGEAR-4331,1,0.76,20,"Learning a new framework environment could require some days, expecially if with no previous experience with it. Considering that i've found many tutorials about dagger 2.0 integrations with sdk services, half of a week will be enough to master it.",C
AEROGEAR-4331,1,0.76,40,"Capture and estimate configuring dagger2 for the project. Implement and unit test dagger2 configuration for the project implementation, Assuming core services are already implemented and running.",B
AEROGEAR-4331,1,0.76,8,"It would take a day to figure out the steps, configure Dagger, and a dependency for core service should be implemented to use the core module in all services h4.",B
AMBARI-24426,1,0.67,40,GOOD,D
AMBARI-24426,1,0.67,40,This requirement will probably take between a few days and a week depending on the experience of the programmer. Building a user interface is fairly straightforward if the requirement is straight forward and does not have to include many bells and whistles.,B
AMBARI-24426,1,0.67,1,You can copy a template from a previous page.,D
AMBARI-24426,1,0.67,20,"Requires creation of mapping between user friendly components and actual component names,
also need to display user friendly names on the screen , no backend changes may be required",B
AMBARI-24426,1,0.67,40,Medium complexity task,D
AMBARI-24426,1,0.67,4,"I think that this issue should only take half a day at the most, because it seems to simply be getting information that already exists in the Log Index. It sounds like the difficult job, which is creating a functioning user-friendly UI is already done, so simply getting the names of these components within the Log Index should not be difficult. Depending on which programming language is being used, rapid prototyping should also allow members on the team to check the Log Index, while someone else tests the UI. It seems like a problem that should take half a day, or less.",B
AMBARI-24426,1,0.67,20,Will need to further test out the script to work out all of the bugs.,B
AMBARI-24426,1,0.67,4,"Fairly straightforward task, no mission creep. There will be plenty of code modules to develop this specific functionality, but II l",C
AMBARI-24426,1,0.67,4,the task consists in modifying some log filters and show user friendly component names. Half of a day is enough.,D
AMBARI-24426,1,0.67,8,good,D
AMBARI-24426,1,0.67,8,"This will likely just involve cosmetic changes to the UI and aggregating existing data into a more user friendly format. It does not sound like difficult coding, but it does sound like the team are having a bit of trouble for some reason so a day sounds reasonable.",C
AMBARI-24426,1,0.67,4,"Need to update the property the page is using to display the information, test, and update any existing unit tests that rely on the text currently being displayed",B
AMBARI-24426,2,0.76,20,"I think it should take a couple of days to fix as it may require binding user interface with a property containing friendly names , also a mapping file may need to be created/updated to include mapping between user friendly names and actual property value.",B
AMBARI-24426,2,0.76,8,"Configure the user friendly messages 
Access it dynamically based on the preference
Display the messages",D
AMBARI-24426,2,0.76,20,"Depends on the knowledge of the programmer but in half week (8 hours a day) should be more than ready. The build of a user friendly experience is a really easy task, depending of the subject of the site, but after some basic knowledge is really easy to see the must have.",C
AMBARI-24426,2,0.76,4,User-friendly names are subject to interpretation and should be achievable relatively quickly albeit still subject to later refinement based on additional requirements when they become available. Take what's already available and make it more pleasant.,B
AMBARI-24426,2,0.76,20,"I think while all of the information should be readily accessible from the database, I also believe that any new feature added will necessarily take more than a day to flesh out any noticeable bugs. Given that this feature could be implemented by someone new to the team (which would a common case as this will help them familiarize themselves with the system), I think it would take a little longer as well.",B
AMBARI-24426,2,0.76,20,"While this should typically only take a day, it would be good to give the extra time in case any issues arise. Half a week gives plenty of time for one person to accomplish this task.",B
AMBARI-24426,2,0.76,8,"Since this mostly seems like a UI issue, a function (3 hours) to map the data onto human-friendly output and the UI for the filter level (3 hours) should be enough. If necessary, a function to flag the content (2 hours) can be written as well, to give the filter levels something to operate on. All in all, this is about a day of work.",B
AMBARI-24426,2,0.76,20,ww,D
GORA-622,1,0.74,-1,NICE,D
GORA-622,1,0.74,8,The change that probably is needed has already be done elsewhere. Testing is what will require time.,B
GORA-622,1,0.74,40,GOOD,D
GORA-622,1,0.74,8,"Amend the group id field to hold the value , simple change to the group id field which should not take long to do depending on number of instances of group id",B
GORA-622,1,0.74,1,"After doing a google search, seems like the problem is due to a XML file configuration (posix configuration). Setting the file should fix the issue. One hour will be enough.",B
GORA-622,1,0.74,40,"Identify pull request issue with existing build, Make necessary changes in the project code repository to overcome build ID fix.",B
